# id	left	top	right	bottom	texture_id
[SPRITES]
#bush
70001	732	51	747	66	30
70002	749	34	764	49	30
70003	732	34	747	49	30
70004	732	17	747	32	30
70005	749	17	764	32	30
70006	733	0	747	15	30
70007	749	0	763	15	30

#bush1
70008	817	204	832	219	30

#panel
#red
70009	52	35	67	50	30
70010	69	35	84	50	30
70011	86	35	101	50	30
70012	52	18	67	33	30
70013	69	18	84	33	30
70014	86	18	101	33	30
70015	52	1	67	16	30
70016	69	1	84	16	30
70017	86	1	101	16	30
#blackline
70018	256	35	263	50	30
70019	256	9	263	16	30
#blue
70020	103	35	118	50	30
70021	120	35	135	50	30
70022	137	35	152	50	30
70023	103	18	118	33	30
70024	120	18	135	33	30
70025	137	18	152	33	30
70026	103	1	118	16	30
70027	120	1	135	16	30
70028	137	1	152	16	30
#halfblue
#bottom
70029	120	35	127	50	30
#centerveritcal8x16
70030	120	18	127	33	30
#8x8
70031	120	18	127	25	30
#lefthorizontal16x8
70032	137	18	152	25	30
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
